Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,Day,Mag_std,Activity,n_rows,start_time,end_time
88.39473684210526,54.833333333333336,65.58823529411765,1.1,78.78099173553719,1.0,1.0,1.0,1.0,113.49395348837209,1.0,92.77765662103597,sleeping,242,16:14:12,16:19:11
47.48837209302326,43.44444444444444,61.61538461538461,1.0526315789473684,78.0,,1.0,1.0,1.0,82.84218181818181,1.0,72.23905953507699,sleeping,239,16:19:12,16:24:11
35.142857142857146,22.61111111111111,60.90625,1.0,79.10204081632654,,1.0,1.0,,67.68606060606061,1.0,60.87232808842962,sleeping,245,16:24:12,16:29:11
30.52173913043478,20.1875,83.55882352941177,1.1111111111111112,79.58196721311475,1.0,1.0,1.0,1.0,90.55485714285714,1.0,76.37167299731074,sleeping,244,16:29:12,16:34:11
35.013888888888886,35.666666666666664,76.14117647058823,1.0,86.06938775510204,1.0,1.0,1.0,1.0,85.75956989247312,1.0,75.87951777007619,sleeping,245,16:34:12,16:39:11
31.07017543859649,23.677419354838708,69.19642857142857,1.105263157894737,81.20408163265306,1.0,1.0,1.0,1.0,75.48442622950819,1.0,71.96156473035643,sleeping,245,16:39:12,16:44:11
29.942857142857143,29.217391304347824,88.5,1.0,83.04115226337449,,1.0,1.0,1.0,91.90348837209302,1.0,76.36684769823974,sleeping,243,16:44:12,16:49:09
27.08695652173913,19.9,35.935483870967744,1.0,80.78775510204082,,1.0,1.0,,44.996874999999996,1.0,34.44893008475554,sleeping,245,16:49:16,16:54:15
54.78260869565217,56.17948717948718,71.54347826086956,1.0476190476190477,83.17355371900827,,1.0,1.0,1.0,99.03,1.0,72.42724015852828,sleeping,242,16:54:16,16:59:15
48.884892086330936,57.88235294117647,60.57936507936508,1.1066666666666667,84.47755102040816,,1.0,1.0,1.0,87.523949044586,1.0,77.0247814349751,sleeping,245,16:59:16,17:04:15
46.86666666666667,48.0258064516129,58.76510067114094,1.1685393258426966,79.80408163265307,1.0,1.0,1.0,1.0,84.53062146892654,1.0,71.2446476939672,sleeping,245,17:04:16,17:09:15
60.144385026737964,53.43076923076923,61.109947643979055,1.2477064220183487,93.47659574468085,1.0,1.0,1.0,1.0,103.8471844660194,1.0,76.42647591770132,sleeping,235,17:14:39,17:19:38
41.585,41.556756756756755,77.13963963963964,1.0510204081632653,86.15102040816326,1.0,1.0,1.0,,99.51122270742358,1.0,72.57543432526339,sleeping,245,17:19:39,17:24:38
45.2183908045977,53.778443113772454,83.34239130434783,1.0978260869565217,83.11016949152543,,1.0,1.0,1.0,111.42284210526316,1.0,71.95252242625956,sleeping,236,17:24:39,17:29:33
33.666666666666664,44.11538461538461,69.24444444444444,1.0,80.5798319327731,,1.0,1.0,,80.2358695652174,1.0,72.05305718934355,eating,238,17:34:40,17:39:27
16.823529411764707,1.5,8.333333333333334,1.0,63.33471074380165,,1.0,1.0,1.0,15.397391304347826,1.0,13.280918714093508,sitting,242,17:49:46,17:54:45
31.466666666666665,,9.6,1.0,58.25675675675676,,1.0,1.0,1.0,32.494,1.0,27.018777865279795,sitting,222,17:54:46,17:59:36
34.1,9.0,22.102564102564102,1.0,60.79752066115702,,1.0,1.0,1.0,33.96638297872341,1.0,32.680363251290615,sitting,242,17:59:53,18:04:49
47.15384615384615,2.0,16.23076923076923,1.0,63.285714285714285,,1.0,1.0,1.0,42.58529411764705,1.0,34.53916193636488,sitting,245,18:04:56,18:09:55
